# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.2961848953179057,0,3.0,-0.8230241539066228,0.0,0.0,0.0
 0.08977908985929128,1.0120902659197917,2.9999375000030684,-0.2961848953179057,0.26933726957787385,3.0,-0.8230241539066228,0.0,-15.25160277030672,0.0
 0.1274407473709001,1.0243601380495442,2.9997510500510516,-0.8705855353563018,0.3823222421127003,2.9999999999999987,-0.7773510380808495,0.0,-18.842736334776305,0.0
 0.15666021886414225,1.0368082279448243,2.999442225202117,-1.4211603325449758,0.46998065659242666,2.999999999999999,-0.7345523440622156,0.0,-21.199553886777135,0.0
 0.1815596566877073,1.0494331471611984,2.9990126005144333,-1.9490173064360998,0.5446789700631218,3.0000000000000013,-0.6944263260970823,0.0,-22.83323757238569,0.0
 0.2037285527110608,1.0622335072542328,2.9984637510461667,-2.455204976054847,0.6111856581331824,3.0000000000000013,-0.6567853749568056,0.0,-23.975961562897304,0.0
 0.223978429252297,1.0752079197794941,2.9977972518554856,-2.9407152376609416,0.6719352877568909,2.9999999999999987,-0.6214552298976824,0.0,-24.76094050466259,0.0
 0.24278914343296007,1.0883549962925492,2.997014678000557,-3.406486212338553,0.7283674302988802,3.0000000000000013,-0.5882741781467806,0.0,-25.27433595306909,0.0
 0.2604718562484703,1.1016733483489642,2.996117604539549,-3.853405036599399,0.781415568745411,3.000000000000005,-0.5570922593811723,0.0,-25.576107129218677,0.0
 0.27724163037427096,1.1151615875043057,2.9951076065306292,-4.282310576173676,0.8317248911228129,2.999999999999997,-0.5277704870778774,0.0,-25.710069642764562,0.0
 0.2932542463677291,1.12881832531414,2.9939862590319644,-4.693996048528331,0.8797627391031874,3.0,-0.500180095705697,0.0,-25.70936716978145,0.0
 0.308626678251945,1.142642173334034,2.992755137101723,-5.089211544132093,0.925880034755835,3.0,-0.47420181995912075,0.0,-25.59971484178131,0.0
 0.3234493002355082,1.1566317431195539,2.991415815798072,-5.468666440118829,0.9703479007065247,3.0,-0.4497252094493535,0.0,-25.401450325413144,0.0
 0.3377935702608065,1.1707856462262662,2.9899698701791793,-5.833031702620756,1.0133807107824193,2.9999999999999925,-0.4266479817122154,0.0,-25.130898077532674,0.0
 0.35171708277500224,1.185102494209738,2.988418875303213,-6.182942076496261,1.0551512483250067,3.000000000000008,-0.4048754138507213,0.0,-24.801314127974603,0.0
 0.3652670134150541,1.199580898625535,2.9867644062283385,-6.518998162712454,1.0958010402451621,2.999999999999992,-0.38431977324766803,0.0,-24.42356221146462,0.0
 0.3784825394499031,1.214219471029224,2.985008038012726,-6.84176838498182,1.1354476183497093,3.000000000000004,-0.36489978653222377,0.0,-24.006610944427454,0.0
 0.39139658484161993,1.2290168229763716,2.9831513457145418,-7.1517908484194415,1.1741897545248596,2.9999999999999916,-0.34654014546038847,0.0,-23.557907752029298,0.0
 0.4040371065761196,1.2439715660225443,2.9811959043919534,-7.449575093378305,1.2121113197283586,3.0000000000000044,-0.32917104849154466,0.0,-23.0836655234193,0.0
 0.4164280613320381,1.2590823117233085,2.9791432891031286,-7.7356037484797495,1.2492841839961142,3.0000000000000044,-0.3127277761605948,0.0,-22.58908593001828,0.0
 0.4285901443545863,1.2743476716342308,2.9769950749062355,-8.010334086964109,1.285770433063759,3.0000000000000044,-0.2971502982984363,0.0,-22.07853582444003,0.0
 0.44054136276532796,1.2897662573108777,2.9747528368594405,-8.274199490791375,1.3216240882959838,2.9999999999999907,-0.28238291130693605,0.0,-21.55568823860992,0.0
 0.45229748641046713,1.3053366803088156,2.972418150020912,-8.527610826980546,1.3568924592314013,3.000000000000005,-0.26837390366825026,0.0,-21.02363625430848,0.0
 0.4638724066979764,1.321057552183611,2.9699925894488173,-8.770957740777757,1.3916172200939292,3.0,-0.25507524720151065,0.0,-20.48498578065898,0.0
 0.4752784253204112,1.3369274844908308,2.967477730201324,-9.004609870072265,1.4258352759612336,3.000000000000005,-0.24244231324116108,0.0,-19.941931745259897,0.0
 0.4865264888632006,1.3529450887860408,2.9648751473366,-9.228917985508916,1.4595794665896018,3.0,-0.2304336106713779,0.0,-19.39632108994194,0.0
 0.497626381159918,1.3691089766248083,2.962186415912812,-9.44421506055982,1.492879143479754,3.0,-0.21901054550035806,0.0,-18.849705170680227,0.0
 0.5085868823048849,1.385417759562699,2.9594131109881285,-9.65081727566535,1.5257606469146547,3.0,-0.2081371989460603,0.0,-18.30338358012799,0.0
 0.5194159010978362,1.40187004915528,2.956556807620717,-9.849024960429151,1.5582477032935087,3.00000000000001,-0.1977801238819719,0.0,-17.758440967382374,0.0
 0.5301205861289686,1.4184644569581177,2.953619080868744,-10.039123477628939,1.5903617583869059,2.99999999999999,-0.18790815728142773,0.0,-17.215778103931974,0.0
 0.5407074195495631,1.4351995945267786,2.950601505790378,-10.221384052621186,1.6221222586486894,3.0,-0.17849224770326189,0.0,-16.67613819957387,0.0
 0.5511822966997635,1.452074073416829,2.9475056574437866,-10.396064551601485,1.6535468900992905,3.0,-0.16950529674635248,0.0,-16.140129260459663,0.0
 0.5615505941019977,1.4690865051838355,2.944333110887137,-10.563410211884433,1.684651782305993,2.9999999999999893,-0.16092201304601617,0.0,-15.608243147895175,0.0
